REF_AREA,Reference area,VAR,Indicator,OBS_VALUE,OBS_STATUS_1,Observation status
CZE,Czechia,PHD_TOC_PERMXPHD_TOC,"Doctorate holders in indefinite contracts, % of employees with a doctorate",93.87874815,A,Normal value
CZE,Czechia,PHD_TOC_PERM_35_44XPHD_TOC_35_44,"Doctorate holders aged 35-44 in indefinite contracts, % of employees with a doctorate aged 35-44",92.75702896,A,Normal value
CZE,Czechia,MAS_TOC_PERMXMAS_TOC,"Master's degree holders in indefinite contracts, % of employees with a master's degree",95.16429425,A,Normal value
CZE,Czechia,MAS_TOC_PERM_25_34XMAS_TOC_25_34,"Master's degree holders aged 25-34 in indefinite contracts, % of employees with a master's degree aged 25-34",92.59208372,A,Normal value
CZE,Czechia,MAS_TOC_PERM_35_44XMAS_TOC_35_44,"Master's degree holders aged 35-44 in indefinite contracts, % of employees with a master's degree aged 35-44",93.93539855,A,Normal value
CZE,Czechia,MAS_TOC_PERM_55_64XMAS_TOC_55_64,"Master's degree holders aged 55-64 in indefinite contracts, % of employees with a master's degree aged 55-64",98.37774708,A,Normal value
CZE,Czechia,MAS_TOC_PERM_45_54XMAS_TOC_45_54,"Master's degree holders aged 45-54 in indefinite contracts, % of employees with a master's degree aged 45-54",96.66851477,A,Normal value
CZE,Czechia,PHD_TOC_PERM_45_54XPHD_TOC_45_54,"Doctorate holders aged 45-54 in indefinite contracts, % of employees with a doctorate aged 45-54",94.52415813,A,Normal value
NLD,Netherlands,MAS_TOC_PERM_45_54XMAS_TOC_45_54,"Master's degree holders aged 45-54 in indefinite contracts, % of employees with a master's degree aged 45-54",90.54255711,A,Normal value
NLD,Netherlands,MAS_TOC_PERM_25_34XMAS_TOC_25_34,"Master's degree holders aged 25-34 in indefinite contracts, % of employees with a master's degree aged 25-34",65.75185792,A,Normal value
NLD,Netherlands,MAS_TOC_PERM_35_44XMAS_TOC_35_44,"Master's degree holders aged 35-44 in indefinite contracts, % of employees with a master's degree aged 35-44",85.28834414,A,Normal value
NLD,Netherlands,PHD_TOC_PERM_35_44XPHD_TOC_35_44,"Doctorate holders aged 35-44 in indefinite contracts, % of employees with a doctorate aged 35-44",74.90725734,A,Normal value
NLD,Netherlands,PHD_TOC_PERMXPHD_TOC,"Doctorate holders in indefinite contracts, % of employees with a doctorate",76.37913557,A,Normal value
NLD,Netherlands,PHD_TOC_PERM_45_54XPHD_TOC_45_54,"Doctorate holders aged 45-54 in indefinite contracts, % of employees with a doctorate aged 45-54",94.33621934,A,Normal value
NLD,Netherlands,MAS_TOC_PERM_55_64XMAS_TOC_55_64,"Master's degree holders aged 55-64 in indefinite contracts, % of employees with a master's degree aged 55-64",90.76045994,A,Normal value
NLD,Netherlands,PHD_TOC_PERM_25_34XPHD_TOC_25_34,"Doctorate holders aged 25-34 in indefinite contracts, % of employees with a doctorate aged 25-34",41.9547911,A,Normal value
NLD,Netherlands,PHD_TOC_PERM_55_64XPHD_TOC_55_64,"Doctorate holders aged 55-64 in indefinite contracts, % of employees with a doctorate aged 55-64",92.34215886,A,Normal value
CHE,Switzerland,MAS_TOC_PERM_45_54XMAS_TOC_45_54,"Master's degree holders aged 45-54 in indefinite contracts, % of employees with a master's degree aged 45-54",95.66379274,A,Normal value
CHE,Switzerland,MAS_TOC_PERM_35_44XMAS_TOC_35_44,"Master's degree holders aged 35-44 in indefinite contracts, % of employees with a master's degree aged 35-44",92.79724108,A,Normal value
